tx_id,gene_id,gene_name,gene_biotype
FBtr0075591,FBgn0036519,CG7650,protein_coding
FBtr0343719,FBgn0028950,CG15255,protein_coding
FBtr0343715,FBgn0266159,lncRNA:CR44865,ncRNA
FBtr0075590,FBgn0036520,CG13449,protein_coding
FBtr0332094,FBgn0036520,CG13449,protein_coding
FBtr0080785,FBgn0028950,CG15255,protein_coding
FBtr0080784,FBgn0028944,Semp1,protein_coding
FBtr0299851,FBgn0259236,comm3,protein_coding
FBtr0344865,FBgn0259236,comm3,protein_coding
FBtr0299850,FBgn0259236,comm3,protein_coding
FBtr0340006,FBgn0260429,CG42524,protein_coding
FBtr0304712,FBgn0260429,CG42524,protein_coding
FBtr0300853,FBgn0260429,CG42524,protein_coding
FBtr0343718,FBgn0028949,CG15254,protein_coding
FBtr0080783,FBgn0028949,CG15254,protein_coding
FBtr0080782,FBgn0028948,CG15253,protein_coding
FBtr0080753,FBgn0028947,CG11865,protein_coding
FBtr0075570,FBgn0036522,Phs,protein_coding
FBtr0080781,FBgn0028946,Or35a,protein_coding
FBtr0080754,FBgn0028945,CG7631,protein_coding
FBtr0347094,FBgn0267639,lncRNA:CR45977,ncRNA
FBtr0343716,FBgn0028518,CG18480,protein_coding
FBtr0080755,FBgn0028518,CG18480,protein_coding
FBtr0343717,FBgn0028518,CG18480,protein_coding
FBtr0306929,FBgn0263040,CG43335,protein_coding
FBtr0340345,FBgn0265596,lncRNA:CR44423,ncRNA
FBtr0306930,FBgn0263041,CG43336,protein_coding
FBtr0344945,FBgn0266198,lncRNA:CR44893,ncRNA
FBtr0344777,FBgn0028863,CG4587,protein_coding
FBtr0344778,FBgn0028863,CG4587,protein_coding
FBtr0074050,FBgn0030663,CG8117,protein_coding
FBtr0344776,FBgn0028863,CG4587,protein_coding
FBtr0344774,FBgn0028863,CG4587,protein_coding
FBtr0344773,FBgn0028863,CG4587,protein_coding
FBtr0344780,FBgn0028863,CG4587,protein_coding
FBtr0344779,FBgn0028863,CG4587,protein_coding
FBtr0344775,FBgn0028863,CG4587,protein_coding
FBtr0304969,FBgn0262529,CG43083,protein_coding
FBtr0075587,FBgn0004588,Eig71Ea,protein_coding
FBtr0303460,FBgn0004589,Eig71Eb,protein_coding
FBtr0075571,FBgn0004589,Eig71Eb,protein_coding
FBtr0304970,FBgn0262530,CG43084,protein_coding
FBtr0075586,FBgn0004590,Eig71Ec,protein_coding
FBtr0075572,FBgn0004591,Eig71Ed,protein_coding
FBtr0075585,FBgn0004592,Eig71Ee,protein_coding
FBtr0075584,FBgn0004593,Eig71Ef,protein_coding
FBtr0304315,FBgn0262403,mir-278,pre_miRNA
FBtr0087345,FBgn0023441,fus,protein_coding
